Alcohol,Malic_Acid,Ash,Ash_Alcanity,Magnesium
14.23,1.71,2.43,15.6,127
13.2,1.78,2.14,11.2,100
13.16,2.36,2.67,18.6,101
14.37,1.95,2.5,16.8,113
13.24,2.59,2.87,21.0,118
14.2,1.76,2.45,15.2,112
14.39,1.87,2.45,14.6,96
14.06,2.15,2.61,17.6,121
14.83,1.64,2.17,14.0,97
13.86,1.35,2.27,16.0,98
14.1,2.16,2.3,18.0,105
14.12,1.48,2.32,16.8,95
13.75,1.73,2.41,16.0,89
14.75,1.73,2.39,11.4,91
14.38,1.87,2.38,12.0,102
13.63,1.81,2.7,17.2,112
14.3,1.92,2.72,20.0,120
13.83,1.57,2.62,20.0,115
14.19,1.59,2.48,16.5,108
13.64,3.1,2.56,15.2,116
14.06,1.63,2.28,16.0,126
12.93,3.8,2.65,18.6,102
13.71,1.86,2.36,16.6,101
12.85,1.6,2.52,17.8,95
13.5,1.81,2.61,20.0,96
13.05,2.05,3.22,25.0,124
13.39,1.77,2.62,16.1,93
13.3,1.72,2.14,17.0,94
13.87,1.9,2.8,19.4,107
14.02,1.68,2.21,16.0,96
13.73,1.5,2.7,22.5,101
13.58,1.66,2.36,19.1,106
13.68,1.83,2.36,17.2,104
13.76,1.53,2.7,19.5,132
13.51,1.8,2.65,19.0,110
13.48,1.81,2.41,20.5,100
13.28,1.64,2.84,15.5,110
13.05,1.65,2.55,18.0,98
13.07,1.5,2.1,15.5,98
14.22,3.99,2.51,13.2,128
13.56,1.71,2.31,16.2,117
13.41,3.84,2.12,18.8,90
13.88,1.89,2.59,15.0,101
13.24,3.98,2.29,17.5,103
13.05,1.77,2.1,17.0,107
14.21,4.04,2.44,18.9,111
14.38,3.59,2.28,16.0,102
13.9,1.68,2.12,16.0,101
14.1,2.02,2.4,18.8,103
13.94,1.73,2.27,17.4,108
13.05,1.73,2.04,12.4,92
13.83,1.65,2.6,17.2,94
13.82,1.75,2.42,14.0,111
13.77,1.9,2.68,17.1,115
13.74,1.67,2.25,16.4,118
13.56,1.73,2.46,20.5,116
14.22,1.7,2.3,16.3,118
13.29,1.97,2.68,16.8,102
13.72,1.43,2.5,16.7,108
12.37,0.94,1.36,10.6,88
12.33,1.1,2.28,16.0,101
12.64,1.36,2.02,16.8,100
13.67,1.25,1.92,18.0,94
12.37,1.13,2.16,19.0,87
12.17,1.45,2.53,19.0,104
12.37,1.21,2.56,18.1,98
13.11,1.01,1.7,15.0,78
12.37,1.17,1.92,19.6,78
13.34,0.94,2.36,17.0,110
12.21,1.19,1.75,16.8,151
12.29,1.61,2.21,20.4,103
13.86,1.51,2.67,25.0,86
13.49,1.66,2.24,24.0,87
12.99,1.67,2.6,30.0,139
11.96,1.09,2.3,21.0,101
11.66,1.88,1.92,16.0,97
13.03,0.9,1.71,16.0,86
11.84,2.89,2.23,18.0,112
12.33,0.99,1.95,14.8,136
12.7,3.87,2.4,23.0,101
12.0,0.92,2.0,19.0,86
12.72,1.81,2.2,18.8,86
12.08,1.13,2.51,24.0,78
13.05,3.86,2.32,22.5,85
11.84,0.89,2.58,18.0,94
12.67,0.98,2.24,18.0,99
12.16,1.61,2.31,22.8,90
11.65,1.67,2.62,26.0,88
11.64,2.06,2.46,21.6,84
12.08,1.33,2.3,23.6,70
12.08,1.83,2.32,18.5,81
12.0,1.51,2.42,22.0,86
12.69,1.53,2.26,20.7,80
12.29,2.83,2.22,18.0,88
11.62,1.99,2.28,18.0,98
12.47,1.52,2.2,19.0,162
11.81,2.12,2.74,21.5,134
12.29,1.41,1.98,16.0,85
12.37,1.07,2.1,18.5,88
12.29,3.17,2.21,18.0,88
12.08,2.08,1.7,17.5,97
12.6,1.34,1.9,18.5,88
12.34,2.45,2.46,21.0,98
11.82,1.72,1.88,19.5,86
12.51,1.73,1.98,20.5,85
12.42,2.55,2.27,22.0,90
12.25,1.73,2.12,19.0,80
12.72,1.75,2.28,22.5,84
12.22,1.29,1.94,19.0,92
11.61,1.35,2.7,20.0,94
11.46,3.74,1.82,19.5,107
12.52,2.43,2.17,21.0,88
11.76,2.68,2.92,20.0,103
11.41,0.74,2.5,21.0,88
12.08,1.39,2.5,22.5,84
11.03,1.51,2.2,21.5,85
11.82,1.47,1.99,20.8,86
12.42,1.61,2.19,22.5,108
12.77,3.43,1.98,16.0,80
12.0,3.43,2.0,19.0,87
11.45,2.4,2.42,20.0,96
11.56,2.05,3.23,28.5,119
12.42,4.43,2.73,26.5,102
13.05,5.8,2.13,21.5,86
11.87,4.31,2.39,21.0,82
12.07,2.16,2.17,21.0,85
12.43,1.53,2.29,21.5,86
11.79,2.13,2.78,28.5,92
12.37,1.63,2.3,24.5,88
12.04,4.3,2.38,22.0,80
12.86,1.35,2.32,18.0,122
12.88,2.99,2.4,20.0,104
12.81,2.31,2.4,24.0,98
12.7,3.55,2.36,21.5,106
12.51,1.24,2.25,17.5,85
12.6,2.46,2.2,18.5,94
12.25,4.72,2.54,21.0,89
12.53,5.51,2.64,25.0,96
13.49,3.59,2.19,19.5,88
12.84,2.96,2.61,24.0,101
12.93,2.81,2.7,21.0,96
13.36,2.56,2.35,20.0,89
13.52,3.17,2.72,23.5,97
13.62,4.95,2.35,20.0,92
12.25,3.88,2.2,18.5,112
13.16,3.57,2.15,21.0,102
13.88,5.04,2.23,20.0,80
12.87,4.61,2.48,21.5,86
13.32,3.24,2.38,21.5,92
13.08,3.9,2.36,21.5,113
13.5,3.12,2.62,24.0,123
12.79,2.67,2.48,22.0,112
13.11,1.9,2.75,25.5,116
13.23,3.3,2.28,18.5,98
12.58,1.29,2.1,20.0,103
13.17,5.19,2.32,22.0,93
13.84,4.12,2.38,19.5,89
12.45,3.03,2.64,27.0,97
14.34,1.68,2.7,25.0,98
13.48,1.67,2.64,22.5,89
12.36,3.83,2.38,21.0,88
13.69,3.26,2.54,20.0,107
12.85,3.27,2.58,22.0,106
12.96,3.45,2.35,18.5,106
13.78,2.76,2.3,22.0,90
13.73,4.36,2.26,22.5,88
13.45,3.7,2.6,23.0,111
12.82,3.37,2.3,19.5,88
13.58,2.58,2.69,24.5,105
13.4,4.6,2.86,25.0,112
12.2,3.03,2.32,19.0,96
12.77,2.39,2.28,19.5,86
14.16,2.51,2.48,20.0,91
13.71,5.65,2.45,20.5,95
13.4,3.91,2.48,23.0,102
13.27,4.28,2.26,20.0,120
13.17,2.59,2.37,20.0,120
14.13,4.1,2.74,24.5,96
